"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 17:30:32:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","mean [sugar] of turtles","mean [psugar] of patches"
"8","color-agents-by-metabolism","50","6","46","3.369565217391304","2.152173913043478","19.543478260869566","1.7984"
"7","color-agents-by-metabolism","50","8","47","3.5319148936170213","2.3617021276595747","19.21276595744681","1.7964"
"5","color-agents-by-metabolism","50","12","38","3.5789473684210527","2.3157894736842106","22.07894736842105","1.8052"
"4","color-agents-by-metabolism","50","10","37","3.2972972972972974","1.945945945945946","22.81081081081081","1.8092"
"6","color-agents-by-metabolism","50","9","40","3.6","2.575","18.15","1.8004"
"1","color-agents-by-metabolism","50","13","39","3.4358974358974357","2.358974358974359","22.05128205128205","1.804"
"4","color-agents-by-metabolism","50","11","36","3.2222222222222223","1.8888888888888888","24.194444444444443","1.8092"
"7","color-agents-by-metabolism","50","9","46","3.5652173913043477","2.3260869565217392","20.065217391304348","1.7968"
"2","color-agents-by-metabolism","50","4","45","2.933333333333333","2.1777777777777776","17","1.8028"
"6","color-agents-by-metabolism","50","10","38","3.710526315789474","2.5526315789473686","19.526315789473685","1.8012"
"7","color-agents-by-metabolism","50","10","45","3.6","2.2888888888888888","21","1.7972"
"5","color-agents-by-metabolism","50","13","37","3.6486486486486487","2.324324324324324","23.216216216216218","1.806"
"4","color-agents-by-metabolism","50","12","36","3.2222222222222223","1.8888888888888888","24.97222222222222","1.8104"
"6","color-agents-by-metabolism","50","11","38","3.710526315789474","2.5526315789473686","20.026315789473685","1.8024"
"7","color-agents-by-metabolism","50","11","45","3.6","2.2888888888888888","21.511111111111113","1.7984"
"2","color-agents-by-metabolism","50","5","43","3.0232558139534884","2.1627906976744184","18.162790697674417","1.8032"
"8","color-agents-by-metabolism","50","7","46","3.369565217391304","2.152173913043478","20.130434782608695","1.7984"
"1","color-agents-by-metabolism","50","14","39","3.4358974358974357","2.358974358974359","22.564102564102566","1.804"
"5","color-agents-by-metabolism","50","14","37","3.6486486486486487","2.324324324324324","23.783783783783782","1.806"
"6","color-agents-by-metabolism","50","12","37","3.7567567567567566","2.5405405405405403","21.08108108108108","1.8024"
"4","color-agents-by-metabolism","50","13","34","3.323529411764706","1.8235294117647058","27.264705882352942","1.8104"
"8","color-agents-by-metabolism","50","8","45","3.4","2.111111111111111","21.177777777777777","1.7984"
"6","color-agents-by-metabolism","50","13","37","3.7567567567567566","2.5405405405405403","21.62162162162162","1.8032"
"7","color-agents-by-metabolism","50","12","44","3.6136363636363638","2.2954545454545454","22.522727272727273","1.7984"
"4","color-agents-by-metabolism","50","14","34","3.323529411764706","1.8235294117647058","28.147058823529413","1.812"
"8","color-agents-by-metabolism","50","9","44","3.4318181818181817","2.0681818181818183","22.295454545454547","1.7996"
"6","color-agents-by-metabolism","50","14","36","3.7222222222222223","2.5","22.77777777777778","1.8032"
"1","color-agents-by-metabolism","50","15","39","3.4358974358974357","2.358974358974359","23.076923076923077","1.804"
"7","color-agents-by-metabolism","50","13","41","3.5853658536585367","2.2195121951219514","24.78048780487805","1.7988"
"2","color-agents-by-metabolism","50","6","41","3","2.1463414634146343","19.51219512195122","1.8044"
"4","color-agents-by-metabolism","50","15","33","3.303030303030303","1.7575757575757576","29.90909090909091","1.812"
"1","color-agents-by-metabolism","50","16","38","3.3684210526315788","2.3157894736842106","24.210526315789473","1.804"
"7","color-agents-by-metabolism","50","14","41","3.5853658536585367","2.2195121951219514","25.463414634146343","1.8012"
"2","color-agents-by-metabolism","50","7","41","3","2.1463414634146343","20.024390243902438","1.8052"
"8","color-agents-by-metabolism","50","10","43","3.372093023255814","2.046511627906977","23.511627906976745","1.8004"
"4","color-agents-by-metabolism","50","16","32","3.25","1.71875","31.8125","1.8132"
"6","color-agents-by-metabolism","50","15","34","3.735294117647059","2.4411764705882355","24.735294117647058","1.8044"
"2","color-agents-by-metabolism","50","8","39","3.051282051282051","2.128205128205128","21.58974358974359","1.8052"
"7","color-agents-by-metabolism","50","15","40","3.6","2.175","26.8","1.8012"
"6","color-agents-by-metabolism","50","16","33","3.696969696969697","2.393939393939394","26.181818181818183","1.8064"
"7","color-agents-by-metabolism","50","16","39","3.6666666666666665","2.1794871794871793","28.23076923076923","1.8024"
"1","color-agents-by-metabolism","50","17","37","3.2972972972972974","2.27027027027027","25.43243243243243","1.8052"
"4","color-agents-by-metabolism","50","17","32","3.25","1.71875","32.8125","1.814"
"6","color-agents-by-metabolism","50","17","33","3.696969696969697","2.393939393939394","26.90909090909091","1.8076"
"2","color-agents-by-metabolism","50","9","37","3.027027027027027","2.027027027027027","23.405405405405407","1.8064"
"7","color-agents-by-metabolism","50","17","38","3.6578947368421053","2.1842105263157894","29.763157894736842","1.8028"
"1","color-agents-by-metabolism","50","18","36","3.361111111111111","2.2222222222222223","26.75","1.8064"
"6","color-agents-by-metabolism","50","18","33","3.696969696969697","2.393939393939394","27.636363636363637","1.8076"
"4","color-agents-by-metabolism","50","18","32","3.25","1.71875","33.8125","1.814"
"7","color-agents-by-metabolism","50","18","38","3.6578947368421053","2.1842105263157894","30.57894736842105","1.8032"
"6","color-agents-by-metabolism","50","19","32","3.78125","2.34375","29.25","1.8076"
"8","color-agents-by-metabolism","50","11","41","3.4878048780487805","1.975609756097561","25.463414634146343","1.8008"
"3","color-agents-by-metabolism","50","3","48","3.5416666666666665","2.2291666666666665","15.916666666666666","1.8024"
"1","color-agents-by-metabolism","50","19","35","3.342857142857143","2.1714285714285713","28.17142857142857","1.8076"
"4","color-agents-by-metabolism","50","19","32","3.25","1.71875","34.8125","1.814"
