[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
4,color-agents-by-metabolism,50,11,36,3.22222222222222,1.88888888888889,24.1944444444444,1.8092
7,color-agents-by-metabolism,50,9,46,3.56521739130435,2.32608695652174,20.0652173913043,1.7968
2,color-agents-by-metabolism,50,4,45,2.93333333333333,2.17777777777778,17,1.8028
6,color-agents-by-metabolism,50,10,38,3.71052631578947,2.55263157894737,19.5263157894737,1.8012
7,color-agents-by-metabolism,50,10,45,3.6,2.28888888888889,21,1.7972
5,color-agents-by-metabolism,50,13,37,3.64864864864865,2.32432432432432,23.2162162162162,1.806
4,color-agents-by-metabolism,50,12,36,3.22222222222222,1.88888888888889,24.9722222222222,1.8104
6,color-agents-by-metabolism,50,11,38,3.71052631578947,2.55263157894737,20.0263157894737,1.8024
7,color-agents-by-metabolism,50,11,45,3.6,2.28888888888889,21.5111111111111,1.7984
2,color-agents-by-metabolism,50,5,43,3.02325581395349,2.16279069767442,18.1627906976744,1.8032
8,color-agents-by-metabolism,50,7,46,3.3695652173913,2.15217391304348,20.1304347826087,1.7984
1,color-agents-by-metabolism,50,14,39,3.43589743589744,2.35897435897436,22.5641025641026,1.804
5,color-agents-by-metabolism,50,14,37,3.64864864864865,2.32432432432432,23.7837837837838,1.806
6,color-agents-by-metabolism,50,12,37,3.75675675675676,2.54054054054054,21.0810810810811,1.8024
4,color-agents-by-metabolism,50,13,34,3.32352941176471,1.82352941176471,27.2647058823529,1.8104
8,color-agents-by-metabolism,50,8,45,3.4,2.11111111111111,21.1777777777778,1.7984
6,color-agents-by-metabolism,50,13,37,3.75675675675676,2.54054054054054,21.6216216216216,1.8032
7,color-agents-by-metabolism,50,12,44,3.61363636363636,2.29545454545455,22.5227272727273,1.7984
4,color-agents-by-metabolism,50,14,34,3.32352941176471,1.82352941176471,28.1470588235294,1.812
8,color-agents-by-metabolism,50,9,44,3.43181818181818,2.06818181818182,22.2954545454545,1.7996
6,color-agents-by-metabolism,50,14,36,3.72222222222222,2.5,22.7777777777778,1.8032
1,color-agents-by-metabolism,50,15,39,3.43589743589744,2.35897435897436,23.0769230769231,1.804
7,color-agents-by-metabolism,50,13,41,3.58536585365854,2.21951219512195,24.780487804878,1.7988
2,color-agents-by-metabolism,50,6,41,3,2.14634146341463,19.5121951219512,1.8044
4,color-agents-by-metabolism,50,15,33,3.3030303030303,1.75757575757576,29.9090909090909,1.812
1,color-agents-by-metabolism,50,16,38,3.36842105263158,2.31578947368421,24.2105263157895,1.804
7,color-agents-by-metabolism,50,14,41,3.58536585365854,2.21951219512195,25.4634146341463,1.8012
2,color-agents-by-metabolism,50,7,41,3,2.14634146341463,20.0243902439024,1.8052
8,color-agents-by-metabolism,50,10,43,3.37209302325581,2.04651162790698,23.5116279069767,1.8004
4,color-agents-by-metabolism,50,16,32,3.25,1.71875,31.8125,1.8132
6,color-agents-by-metabolism,50,15,34,3.73529411764706,2.44117647058824,24.7352941176471,1.8044
2,color-agents-by-metabolism,50,8,39,3.05128205128205,2.12820512820513,21.5897435897436,1.8052
7,color-agents-by-metabolism,50,15,40,3.6,2.175,26.8,1.8012
6,color-agents-by-metabolism,50,16,33,3.6969696969697,2.39393939393939,26.1818181818182,1.8064
7,color-agents-by-metabolism,50,16,39,3.66666666666667,2.17948717948718,28.2307692307692,1.8024
1,color-agents-by-metabolism,50,17,37,3.2972972972973,2.27027027027027,25.4324324324324,1.8052
4,color-agents-by-metabolism,50,17,32,3.25,1.71875,32.8125,1.814
6,color-agents-by-metabolism,50,17,33,3.6969696969697,2.39393939393939,26.9090909090909,1.8076
2,color-agents-by-metabolism,50,9,37,3.02702702702703,2.02702702702703,23.4054054054054,1.8064
7,color-agents-by-metabolism,50,17,38,3.65789473684211,2.18421052631579,29.7631578947368,1.8028
1,color-agents-by-metabolism,50,18,36,3.36111111111111,2.22222222222222,26.75,1.8064
6,color-agents-by-metabolism,50,18,33,3.6969696969697,2.39393939393939,27.6363636363636,1.8076
4,color-agents-by-metabolism,50,18,32,3.25,1.71875,33.8125,1.814
7,color-agents-by-metabolism,50,18,38,3.65789473684211,2.18421052631579,30.5789473684211,1.8032
6,color-agents-by-metabolism,50,19,32,3.78125,2.34375,29.25,1.8076
8,color-agents-by-metabolism,50,11,41,3.48780487804878,1.97560975609756,25.4634146341463,1.8008
3,color-agents-by-metabolism,50,3,48,3.54166666666667,2.22916666666667,15.9166666666667,1.8024
1,color-agents-by-metabolism,50,19,35,3.34285714285714,2.17142857142857,28.1714285714286,1.8076
4,color-agents-by-metabolism,50,19,32,3.25,1.71875,34.8125,1.814
3,color-agents-by-metabolism,50,4,48,3.54166666666667,2.22916666666667,16.1041666666667,1.8024
7,color-agents-by-metabolism,50,19,37,3.67567567567568,2.16216216216216,32.2432432432432,1.8032
2,color-agents-by-metabolism,50,10,37,3.02702702702703,2.02702702702703,24.1351351351351,1.808
1,color-agents-by-metabolism,50,20,34,3.29411764705882,2.14705882352941,29.7058823529412,1.8088
6,color-agents-by-metabolism,50,20,32,3.78125,2.34375,30.03125,1.8088
8,color-agents-by-metabolism,50,12,40,3.5,1.95,26.975,1.8024
3,color-agents-by-metabolism,50,5,48,3.54166666666667,2.22916666666667,16.2916666666667,1.8024
4,color-agents-by-metabolism,50,20,31,3.2258064516129,1.64516129032258,36.9677419354839,1.814
