"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 11:56:07:966 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"6","color-agents-by-metabolism","50","10","40","3.725","2.175"
"1","color-agents-by-metabolism","50","19","35","3.5714285714285716","2.3714285714285714"
"2","color-agents-by-metabolism","50","9","44","3.2954545454545454","2.159090909090909"
"6","color-agents-by-metabolism","50","11","40","3.725","2.175"
"4","color-agents-by-metabolism","50","3","49","3.673469387755102","2.5510204081632653"
"1","color-agents-by-metabolism","50","20","35","3.5714285714285716","2.3714285714285714"
"6","color-agents-by-metabolism","50","12","38","3.736842105263158","2.1842105263157894"
"1","color-agents-by-metabolism","50","21","35","3.5714285714285716","2.3714285714285714"
"4","color-agents-by-metabolism","50","4","46","3.8043478260869565","2.4565217391304346"
"2","color-agents-by-metabolism","50","10","44","3.2954545454545454","2.159090909090909"
"6","color-agents-by-metabolism","50","13","38","3.736842105263158","2.1842105263157894"
"4","color-agents-by-metabolism","50","5","46","3.8043478260869565","2.4565217391304346"
"1","color-agents-by-metabolism","50","22","34","3.5588235294117645","2.3529411764705883"
"2","color-agents-by-metabolism","50","11","43","3.302325581395349","2.13953488372093"
"6","color-agents-by-metabolism","50","14","37","3.7567567567567566","2.1621621621621623"
"1","color-agents-by-metabolism","50","23","33","3.5454545454545454","2.3636363636363638"
"4","color-agents-by-metabolism","50","6","46","3.8043478260869565","2.4565217391304346"
"6","color-agents-by-metabolism","50","15","35","3.8857142857142857","2.142857142857143"
"1","color-agents-by-metabolism","50","24","32","3.5625","2.34375"
"5","color-agents-by-metabolism","50","6","47","3.4893617021276597","2.25531914893617"
"3","color-agents-by-metabolism","50","18","41","3.341463414634146","1.975609756097561"
"1","color-agents-by-metabolism","50","25","30","3.7","2.2666666666666666"
"6","color-agents-by-metabolism","50","16","34","3.911764705882353","2.1176470588235294"
"3","color-agents-by-metabolism","50","19","40","3.325","1.925"
"6","color-agents-by-metabolism","50","17","34","3.911764705882353","2.1176470588235294"
"8","color-agents-by-metabolism","50","19","36","3.4166666666666665","2.1944444444444446"
"4","color-agents-by-metabolism","50","7","46","3.8043478260869565","2.4565217391304346"
"8","color-agents-by-metabolism","50","20","36","3.4166666666666665","2.1944444444444446"
"1","color-agents-by-metabolism","50","26","30","3.7","2.2666666666666666"
"3","color-agents-by-metabolism","50","20","40","3.325","1.925"
"7","color-agents-by-metabolism","50","1","50","3.6","2.48"
"4","color-agents-by-metabolism","50","8","46","3.8043478260869565","2.4565217391304346"
"8","color-agents-by-metabolism","50","21","33","3.4242424242424243","2.0606060606060606"
"5","color-agents-by-metabolism","50","7","47","3.4893617021276597","2.25531914893617"
"1","color-agents-by-metabolism","50","27","30","3.7","2.2666666666666666"
"3","color-agents-by-metabolism","50","21","40","3.325","1.925"
"8","color-agents-by-metabolism","50","22","33","3.4242424242424243","2.0606060606060606"
"5","color-agents-by-metabolism","50","8","45","3.5555555555555554","2.2444444444444445"
"7","color-agents-by-metabolism","50","2","50","3.6","2.48"
"4","color-agents-by-metabolism","50","9","43","3.7674418604651163","2.3488372093023258"
"1","color-agents-by-metabolism","50","28","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","9","45","3.5555555555555554","2.2444444444444445"
"2","color-agents-by-metabolism","50","12","42","3.261904761904762","2.142857142857143"
"7","color-agents-by-metabolism","50","3","50","3.6","2.48"
"4","color-agents-by-metabolism","50","10","43","3.7674418604651163","2.3488372093023258"
"5","color-agents-by-metabolism","50","10","44","3.6136363636363638","2.227272727272727"
"3","color-agents-by-metabolism","50","22","39","3.358974358974359","1.9487179487179487"
"2","color-agents-by-metabolism","50","13","42","3.261904761904762","2.142857142857143"
"1","color-agents-by-metabolism","50","29","30","3.7","2.2666666666666666"
"8","color-agents-by-metabolism","50","23","32","3.46875","2.03125"
"3","color-agents-by-metabolism","50","23","37","3.4864864864864864","1.972972972972973"
"4","color-agents-by-metabolism","50","11","43","3.7674418604651163","2.3488372093023258"
"7","color-agents-by-metabolism","50","4","49","3.5918367346938775","2.4489795918367347"
"8","color-agents-by-metabolism","50","24","31","3.5161290322580645","2"
"5","color-agents-by-metabolism","50","11","44","3.6136363636363638","2.227272727272727"
"3","color-agents-by-metabolism","50","24","37","3.4864864864864864","1.972972972972973"
"5","color-agents-by-metabolism","50","12","40","3.525","2.1"
"7","color-agents-by-metabolism","50","5","48","3.5833333333333335","2.4166666666666665"
"4","color-agents-by-metabolism","50","12","42","3.8095238095238093","2.3333333333333335"
"8","color-agents-by-metabolism","50","25","31","3.5161290322580645","2"
