"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 12:11:28:339 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"1","color-agents-by-metabolism","50","14","35","3.9714285714285715","2.085714285714286"
"5","color-agents-by-metabolism","50","6","45","3.5555555555555554","2.577777777777778"
"8","color-agents-by-metabolism","50","13","36","3.6944444444444446","2.111111111111111"
"4","color-agents-by-metabolism","50","9","45","3.688888888888889","2.1555555555555554"
"2","color-agents-by-metabolism","50","13","40","4.175","2.15"
"1","color-agents-by-metabolism","50","15","34","4.0588235294117645","2.1176470588235294"
"4","color-agents-by-metabolism","50","10","44","3.659090909090909","2.1136363636363638"
"2","color-agents-by-metabolism","50","14","40","4.175","2.15"
"7","color-agents-by-metabolism","50","1","50","4","2.56"
"1","color-agents-by-metabolism","50","16","32","4","2.0625"
"5","color-agents-by-metabolism","50","7","44","3.5","2.5681818181818183"
"4","color-agents-by-metabolism","50","11","44","3.659090909090909","2.1136363636363638"
"8","color-agents-by-metabolism","50","14","35","3.742857142857143","2.085714285714286"
"1","color-agents-by-metabolism","50","17","31","3.967741935483871","2.032258064516129"
"2","color-agents-by-metabolism","50","15","39","4.230769230769231","2.128205128205128"
"4","color-agents-by-metabolism","50","12","43","3.697674418604651","2.0930232558139537"
"1","color-agents-by-metabolism","50","18","31","3.967741935483871","2.032258064516129"
"4","color-agents-by-metabolism","50","13","42","3.6904761904761907","2.0476190476190474"
"8","color-agents-by-metabolism","50","15","34","3.823529411764706","2.1176470588235294"
"7","color-agents-by-metabolism","50","2","50","4","2.56"
"2","color-agents-by-metabolism","50","16","38","4.315789473684211","2.1315789473684212"
"1","color-agents-by-metabolism","50","19","31","3.967741935483871","2.032258064516129"
"4","color-agents-by-metabolism","50","14","40","3.7","1.975"
"8","color-agents-by-metabolism","50","16","34","3.823529411764706","2.1176470588235294"
"1","color-agents-by-metabolism","50","20","30","3.933333333333333","2"
"4","color-agents-by-metabolism","50","15","39","3.769230769230769","1.9487179487179487"
"8","color-agents-by-metabolism","50","17","34","3.823529411764706","2.1176470588235294"
"7","color-agents-by-metabolism","50","3","47","4.1063829787234045","2.4893617021276597"
"2","color-agents-by-metabolism","50","17","38","4.315789473684211","2.1315789473684212"
"1","color-agents-by-metabolism","50","21","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","18","34","3.823529411764706","2.1176470588235294"
"4","color-agents-by-metabolism","50","16","38","3.8421052631578947","1.9473684210526316"
"7","color-agents-by-metabolism","50","4","47","4.1063829787234045","2.4893617021276597"
"1","color-agents-by-metabolism","50","22","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","19","33","3.8484848484848486","2.090909090909091"
"6","color-agents-by-metabolism","50","8","41","3.731707317073171","2.5609756097560976"
"7","color-agents-by-metabolism","50","5","46","4.173913043478261","2.4565217391304346"
"8","color-agents-by-metabolism","50","20","32","3.8125","2.03125"
"5","color-agents-by-metabolism","50","8","44","3.5","2.5681818181818183"
"3","color-agents-by-metabolism","50","20","36","4","2.0833333333333335"
"6","color-agents-by-metabolism","50","9","39","3.7948717948717947","2.5128205128205128"
"7","color-agents-by-metabolism","50","6","44","4.295454545454546","2.4545454545454546"
"5","color-agents-by-metabolism","50","9","43","3.558139534883721","2.5348837209302326"
"6","color-agents-by-metabolism","50","10","37","3.72972972972973","2.4594594594594597"
"7","color-agents-by-metabolism","50","7","43","4.27906976744186","2.441860465116279"
"3","color-agents-by-metabolism","50","21","35","4.085714285714285","2.0285714285714285"
"4","color-agents-by-metabolism","50","17","38","3.8421052631578947","1.9473684210526316"
"5","color-agents-by-metabolism","50","10","42","3.5714285714285716","2.5"
"6","color-agents-by-metabolism","50","11","35","3.8857142857142857","2.3714285714285714"
"5","color-agents-by-metabolism","50","11","41","3.6097560975609757","2.4878048780487805"
"3","color-agents-by-metabolism","50","22","35","4.085714285714285","2.0285714285714285"
"7","color-agents-by-metabolism","50","8","42","4.309523809523809","2.4047619047619047"
"4","color-agents-by-metabolism","50","18","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","12","32","4.125","2.28125"
"5","color-agents-by-metabolism","50","12","38","3.6578947368421053","2.4210526315789473"
"3","color-agents-by-metabolism","50","23","34","4.176470588235294","2"
"2","color-agents-by-metabolism","50","18","38","4.315789473684211","2.1315789473684212"
"4","color-agents-by-metabolism","50","19","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","13","31","4.161290322580645","2.225806451612903"
"5","color-agents-by-metabolism","50","13","37","3.72972972972973","2.4054054054054053"
"2","color-agents-by-metabolism","50","19","38","4.315789473684211","2.1315789473684212"
"1","color-agents-by-metabolism","50","23","30","3.933333333333333","2"
"3","color-agents-by-metabolism","50","24","34","4.176470588235294","2"
"4","color-agents-by-metabolism","50","20","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","14","29","4.206896551724138","2.1724137931034484"
"2","color-agents-by-metabolism","50","20","38","4.315789473684211","2.1315789473684212"
"5","color-agents-by-metabolism","50","14","37","3.72972972972973","2.4054054054054053"
"1","color-agents-by-metabolism","50","24","30","3.933333333333333","2"
"3","color-agents-by-metabolism","50","25","34","4.176470588235294","2"
"4","color-agents-by-metabolism","50","21","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","15","29","4.206896551724138","2.1724137931034484"
"3","color-agents-by-metabolism","50","26","34","4.176470588235294","2"
"5","color-agents-by-metabolism","50","15","37","3.72972972972973","2.4054054054054053"
"3","color-agents-by-metabolism","50","27","34","4.176470588235294","2"
"4","color-agents-by-metabolism","50","22","37","3.891891891891892","1.8918918918918919"
"8","color-agents-by-metabolism","50","21","31","3.774193548387097","2.032258064516129"
"2","color-agents-by-metabolism","50","21","38","4.315789473684211","2.1315789473684212"
"6","color-agents-by-metabolism","50","16","28","4.214285714285714","2.107142857142857"
"5","color-agents-by-metabolism","50","16","37","3.72972972972973","2.4054054054054053"
"3","color-agents-by-metabolism","50","28","34","4.176470588235294","2"
"4","color-agents-by-metabolism","50","23","37","3.891891891891892","1.8918918918918919"
"2","color-agents-by-metabolism","50","22","36","4.388888888888889","2.0833333333333335"
"4","color-agents-by-metabolism","50","24","37","3.891891891891892","1.8918918918918919"
"3","color-agents-by-metabolism","50","29","34","4.176470588235294","2"
"6","color-agents-by-metabolism","50","17","28","4.214285714285714","2.107142857142857"
"8","color-agents-by-metabolism","50","22","30","3.8666666666666667","2"
"5","color-agents-by-metabolism","50","17","37","3.72972972972973","2.4054054054054053"
"2","color-agents-by-metabolism","50","23","36","4.388888888888889","2.0833333333333335"
"4","color-agents-by-metabolism","50","25","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","18","27","4.185185185185185","2.037037037037037"
"2","color-agents-by-metabolism","50","24","35","4.428571428571429","2.0285714285714285"
"7","color-agents-by-metabolism","50","9","42","4.309523809523809","2.4047619047619047"
"3","color-agents-by-metabolism","50","30","34","4.176470588235294","2"
"8","color-agents-by-metabolism","50","23","30","3.8666666666666667","2"
