"initial-population","50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"[reporter]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"[all run data]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
,"50","3.4","2.68","50","3.38","2.3","50","3.26","2.22","50","3.66","2.58","50","3.48","2.32","50","3.6","2.44","50","3.6","2.48","50","3.24","2.58","50","3.72","2.7","50","3.64","2.52","100","3.63","2.58","100","3.63","2.38","100","3.46","2.38","100","3.3","2.51","100","3.31","2.69","100","3.31","2.43","100","3.88","2.75","100","3.34","2.46","100","3.69","2.56","100","3.52","2.29"
,"50","3.4","2.68","50","3.38","2.3","50","3.26","2.22","50","3.66","2.58","50","3.48","2.32","50","3.6","2.44","50","3.6","2.48","50","3.24","2.58","50","3.72","2.7","50","3.64","2.52","100","3.63","2.58","100","3.63","2.38","100","3.46","2.38","100","3.3","2.51","100","3.31","2.69","100","3.31","2.43","100","3.88","2.75","100","3.34","2.46","100","3.69","2.56","100","3.52","2.29"
,"50","3.4","2.68","50","3.38","2.3","50","3.26","2.22","50","3.66","2.58","49","3.510204081632653","2.2857142857142856","49","3.6122448979591835","2.4081632653061225","50","3.6","2.48","50","3.24","2.58","49","3.7551020408163267","2.673469387755102","50","3.64","2.52","99","3.6565656565656566","2.5656565656565657","99","3.6464646464646466","2.3636363636363638","100","3.46","2.38","100","3.3","2.51","100","3.31","2.69","99","3.292929292929293","2.4242424242424243","99","3.898989898989899","2.7373737373737375","98","3.36734693877551","2.4285714285714284","100","3.69","2.56","100","3.52","2.29"
,"48","3.3541666666666665","2.6666666666666665","50","3.38","2.3","50","3.26","2.22","49","3.673469387755102","2.5510204081632653","49","3.510204081632653","2.2857142857142856","47","3.617021276595745","2.3617021276595747","50","3.6","2.48","50","3.24","2.58","48","3.7083333333333335","2.6458333333333335","49","3.693877551020408","2.510204081632653","98","3.642857142857143","2.561224489795918","99","3.6464646464646466","2.3636363636363638","98","3.489795918367347","2.3469387755102042","98","3.316326530612245","2.479591836734694","96","3.40625","2.6458333333333335","95","3.3473684210526318","2.3684210526315788","96","3.9166666666666665","2.75","95","3.3789473684210525","2.389473684210526","98","3.7346938775510203","2.5306122448979593","98","3.510204081632653","2.2551020408163267"
,"48","3.3541666666666665","2.6666666666666665","50","3.38","2.3","50","3.26","2.22","46","3.8043478260869565","2.4565217391304346","49","3.510204081632653","2.2857142857142856","45","3.6444444444444444","2.2888888888888888","49","3.5918367346938775","2.4489795918367347","50","3.24","2.58","46","3.717391304347826","2.630434782608696","49","3.693877551020408","2.510204081632653","97","3.649484536082474","2.5463917525773194","98","3.663265306122449","2.3469387755102042","98","3.489795918367347","2.3469387755102042","97","3.3195876288659796","2.484536082474227","93","3.4623655913978495","2.6344086021505375","94","3.372340425531915","2.3617021276595747","90","3.977777777777778","2.688888888888889","92","3.4347826086956523","2.347826086956522","95","3.8105263157894735","2.5052631578947366","98","3.510204081632653","2.2551020408163267"
,"46","3.4130434782608696","2.630434782608696","50","3.38","2.3","49","3.2653061224489797","2.183673469387755","46","3.8043478260869565","2.4565217391304346","48","3.4583333333333335","2.25","44","3.7045454545454546","2.25","48","3.5833333333333335","2.4166666666666665","50","3.24","2.58","45","3.6666666666666665","2.6222222222222222","47","3.702127659574468","2.4468085106382977","96","3.6354166666666665","2.53125","96","3.6979166666666665","2.3125","97","3.515463917525773","2.329896907216495","88","3.3068181818181817","2.3636363636363638","90","3.511111111111111","2.588888888888889","90","3.4","2.3222222222222224","86","4.034883720930233","2.697674418604651","89","3.460674157303371","2.292134831460674","91","3.8241758241758244","2.4505494505494507","95","3.557894736842105","2.210526315789474"
,"45","3.466666666666667","2.6222222222222222","49","3.4285714285714284","2.306122448979592","49","3.2653061224489797","2.183673469387755","46","3.8043478260869565","2.4565217391304346","47","3.4893617021276597","2.25531914893617","42","3.738095238095238","2.1904761904761907","46","3.5434782608695654","2.347826086956522","48","3.2708333333333335","2.5208333333333335","44","3.6818181818181817","2.590909090909091","46","3.6739130434782608","2.4347826086956523","95","3.6315789473684212","2.5157894736842104","95","3.7157894736842105","2.305263157894737","93","3.5161290322580645","2.2903225806451615","88","3.3068181818181817","2.3636363636363638","89","3.539325842696629","2.5730337078651684","88","3.397727272727273","2.284090909090909","81","4.135802469135802","2.6419753086419755","85","3.5176470588235293","2.235294117647059","88","3.897727272727273","2.4431818181818183","92","3.5652173913043477","2.1956521739130435"
,"44","3.5","2.590909090909091","45","3.2888888888888888","2.1555555555555554","48","3.2708333333333335","2.2083333333333335","46","3.8043478260869565","2.4565217391304346","47","3.4893617021276597","2.25531914893617","42","3.738095238095238","2.1904761904761907","42","3.5952380952380953","2.238095238095238","46","3.3260869565217392","2.4565217391304346","44","3.6818181818181817","2.590909090909091","43","3.7674418604651163","2.3488372093023258","92","3.6630434782608696","2.4782608695652173","94","3.734042553191489","2.2872340425531914","90","3.5555555555555554","2.2555555555555555","87","3.32183908045977","2.3448275862068964","87","3.5402298850574714","2.5402298850574714","86","3.36046511627907","2.2674418604651163","77","4.116883116883117","2.5844155844155843","83","3.4939759036144578","2.2048192771084336","86","3.86046511627907","2.4069767441860463","92","3.5652173913043477","2.1956521739130435"
,"44","3.5","2.590909090909091","45","3.2888888888888888","2.1555555555555554","48","3.2708333333333335","2.2083333333333335","46","3.8043478260869565","2.4565217391304346","45","3.5555555555555554","2.2444444444444445","41","3.731707317073171","2.1951219512195124","40","3.675","2.2","43","3.302325581395349","2.395348837209302","41","3.7560975609756095","2.5121951219512195","42","3.8095238095238093","2.3095238095238093","90","3.6777777777777776","2.4555555555555557","89","3.8202247191011236","2.2134831460674156","89","3.5730337078651684","2.247191011235955","87","3.32183908045977","2.3448275862068964","83","3.5903614457831323","2.5060240963855422","84","3.3452380952380953","2.25","75","4.173333333333333","2.56","81","3.45679012345679","2.1728395061728394","85","3.8823529411764706","2.388235294117647","89","3.5842696629213484","2.157303370786517"
