data points,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles,count turtles,mean vision of turtles,mean metabolism of turtles
run number,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,59,59,59,60,60,60,61,61,61,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,75,75,75,76,76,76,77,77,77,78,78,78,79,79,79,80,80,80,81,81,81,82,82,82,83,83,83,84,84,84,85,85,85,86,86,86,87,87,87,88,88,88,89,89,89,90,90,90,91,91,91,92,92,92,93,93,93,94,94,94,95,95,95,96,96,96,97,97,97,98,98,98,99,99,99,100,100,100,101,101,101,102,102,102,103,103,103,104,104,104,105,105,105,106,106,106,107,107,107,108,108,108,109,109,109,110,110,110,111,111,111,112,112,112,113,113,113,114,114,114,115,115,115,116,116,116,117,117,117,118,118,118,119,119,119,120,120,120,121,121,121,122,122,122,123,123,123,124,124,124,125,125,125,126,126,126,127,127,127,128,128,128,129,129,129,130,130,130,131,131,131,132,132,132,133,133,133,134,134,134,135,135,135,136,136,136,137,137,137,138,138,138,139,139,139,140,140,140,141,141,141,142,142,142,143,143,143,144,144,144,145,145,145,146,146,146,147,147,147,148,148,148,149,149,149,150,150,150,151,151,151,152,152,152,153,153,153,154,154,154,155,155,155,156,156,156,157,157,157,158,158,158,159,159,159,160,160,160,161,161,161,162,162,162,163,163,163,164,164,164,165,165,165,166,166,166,167,167,167,168,168,168,169,169,169,170,170,170,171,171,171,172,172,172,173,173,173,174,174,174,175,175,175,176,176,176,177,177,177,178,178,178,179,179,179,180,180,180,181,181,181,182,182,182,183,183,183,184,184,184,185,185,185,186,186,186,187,187,187,188,188,188,189,189,189,190,190,190,191,191,191,192,192,192,193,193,193,194,194,194,195,195,195,196,196,196,197,197,197,198,198,198,199,199,199,200,200,200
1,50,3.8,2.3,50,3.54,2.5,50,3.12,2.26,50,3.56,2.3,50,4.12,2.72,50,3.84,2.56,50,3.6,2.82,50,3.8,2.82,50,3.36,2.36,50,3.36,2.44,100,3.48,2.55,100,3.56,2.6,100,3.53,2.54,100,3.34,2.36,100,3.26,2.71,100,3.54,2.55,100,3.45,2.52,100,3.76,2.52,100,3.37,2.48,100,3.52,2.47,150,3.36,2.44666666666667,150,3.56666666666667,2.32,150,3.48,2.4,150,3.22666666666667,2.36,150,3.5,2.36,150,3.54,2.42666666666667,150,3.58,2.60666666666667,150,3.24666666666667,2.58,150,3.51333333333333,2.42666666666667,150,3.52,2.59333333333333,200,3.42,2.555,200,3.445,2.455,200,3.475,2.54,200,3.54,2.465,200,3.355,2.6,200,3.58,2.49,200,3.47,2.5,200,3.635,2.555,200,3.58,2.48,200,3.405,2.685,250,3.636,2.468,250,3.472,2.5,250,3.576,2.496,250,3.384,2.484,250,3.44,2.492,250,3.48,2.344,250,3.484,2.388,250,3.392,2.432,250,3.5,2.548,250,3.524,2.468,300,3.52666666666667,2.60666666666667,300,3.51,2.52666666666667,300,3.52,2.50333333333333,300,3.59,2.53,300,3.55,2.68333333333333,300,3.45666666666667,2.53,300,3.52666666666667,2.51,300,3.36333333333333,2.41666666666667,300,3.44666666666667,2.43,300,3.42666666666667,2.43333333333333,350,3.63714285714286,2.51142857142857,350,3.39142857142857,2.54571428571429,350,3.42571428571429,2.56,350,3.74571428571429,2.51428571428571,350,3.61142857142857,2.47428571428571,350,3.54857142857143,2.48857142857143,350,3.53142857142857,2.38,350,3.38571428571429,2.45714285714286,350,3.58,2.54857142857143,350,3.66571428571429,2.50285714285714,400,3.4075,2.395,400,3.655,2.4925,400,3.3325,2.4825,400,3.665,2.5075,400,3.6225,2.47,400,3.475,2.54,400,3.4125,2.5025,400,3.5775,2.575,400,3.4525,2.4025,400,3.525,2.52,450,3.58888888888889,2.50666666666667,450,3.4,2.46666666666667,450,3.41777777777778,2.56222222222222,450,3.53777777777778,2.54222222222222,450,3.49333333333333,2.45555555555556,450,3.47111111111111,2.48666666666667,450,3.46222222222222,2.47111111111111,450,3.54444444444444,2.47111111111111,450,3.58666666666667,2.46222222222222,450,3.44,2.53777777777778,500,3.452,2.538,500,3.498,2.524,500,3.63,2.52,500,3.642,2.534,500,3.514,2.526,500,3.496,2.536,500,3.376,2.482,500,3.482,2.508,500,3.436,2.456,500,3.528,2.406,550,3.43818181818182,2.53454545454545,550,3.53090909090909,2.51090909090909,550,3.49272727272727,2.46363636363636,550,3.51454545454545,2.51636363636364,550,3.50545454545455,2.53818181818182,550,3.53272727272727,2.51454545454545,550,3.43090909090909,2.52181818181818,550,3.58909090909091,2.51636363636364,550,3.39272727272727,2.46545454545455,550,3.31454545454545,2.46909090909091,600,3.53166666666667,2.48666666666667,600,3.43666666666667,2.43666666666667,600,3.445,2.61166666666667,600,3.41333333333333,2.49666666666667,600,3.475,2.6,600,3.52,2.49,600,3.365,2.55333333333333,600,3.415,2.48333333333333,600,3.53,2.57166666666667,600,3.51,2.51333333333333,650,3.44,2.51384615384615,650,3.48153846153846,2.50769230769231,650,3.42,2.54461538461538,650,3.49538461538462,2.52,650,3.63076923076923,2.48615384615385,650,3.47230769230769,2.55692307692308,650,3.58307692307692,2.41846153846154,650,3.42923076923077,2.56307692307692,650,3.54923076923077,2.51538461538462,650,3.54769230769231,2.5,700,3.58857142857143,2.48428571428571,700,3.43857142857143,2.49,700,3.44,2.52,700,3.52714285714286,2.53571428571429,700,3.62571428571429,2.45714285714286,700,3.46714285714286,2.57,700,3.52571428571429,2.47857142857143,700,3.64285714285714,2.50142857142857,700,3.5,2.45571428571429,700,3.47285714285714,2.58285714285714,750,3.46533333333333,2.47333333333333,750,3.57866666666667,2.48666666666667,750,3.436,2.48666666666667,750,3.548,2.564,750,3.612,2.504,750,3.46533333333333,2.47333333333333,750,3.46,2.56266666666667,750,3.41466666666667,2.54666666666667,750,3.50133333333333,2.44266666666667,750,3.55066666666667,2.44,800,3.54375,2.49375,800,3.43125,2.47375,800,3.55625,2.52125,800,3.50125,2.55625,800,3.51375,2.4275,800,3.45875,2.455,800,3.505,2.585,800,3.59125,2.4925,800,3.4925,2.50375,800,3.50375,2.4825,850,3.45058823529412,2.51411764705882,850,3.58941176470588,2.47411764705882,850,3.45882352941176,2.52705882352941,850,3.50117647058823,2.44588235294118,850,3.5,2.44705882352941,850,3.57764705882353,2.53058823529412,850,3.48705882352941,2.51882352941176,850,3.43411764705882,2.48235294117647,850,3.50117647058823,2.48,850,3.51294117647059,2.52352941176471,900,3.52888888888889,2.46,900,3.54888888888889,2.47,900,3.51,2.44222222222222,900,3.50666666666667,2.51444444444444,900,3.54111111111111,2.45666666666667,900,3.54777777777778,2.49888888888889,900,3.44111111111111,2.53222222222222,900,3.51111111111111,2.55,900,3.57111111111111,2.49111111111111,900,3.48777777777778,2.55555555555556,950,3.40526315789474,2.48631578947368,950,3.56736842105263,2.48736842105263,950,3.51789473684211,2.49578947368421,950,3.56,2.54,950,3.52315789473684,2.48,950,3.51157894736842,2.58631578947368,950,3.48736842105263,2.47368421052632,950,3.56421052631579,2.48105263157895,950,3.58421052631579,2.57684210526316,950,3.59157894736842,2.45473684210526,1000,3.459,2.495,1000,3.55,2.486,1000,3.431,2.425,1000,3.441,2.501,1000,3.439,2.55,1000,3.482,2.469,1000,3.434,2.521,1000,3.502,2.525,1000,3.569,2.457,1000,3.46,2.51
2,50,3.8,2.3,50,3.54,2.5,50,3.12,2.26,50,3.56,2.3,50,4.12,2.72,50,3.84,2.56,50,3.6,2.82,50,3.8,2.82,50,3.36,2.36,50,3.36,2.44,100,3.48,2.55,100,3.56,2.6,100,3.53,2.54,100,3.34,2.36,100,3.26,2.71,100,3.54,2.55,100,3.45,2.52,100,3.76,2.52,100,3.37,2.48,100,3.52,2.47,150,3.36,2.44666666666667,150,3.56666666666667,2.32,150,3.48,2.4,150,3.22666666666667,2.36,150,3.5,2.36,150,3.54,2.42666666666667,150,3.58,2.60666666666667,150,3.24666666666667,2.58,150,3.51333333333333,2.42666666666667,150,3.52,2.59333333333333,200,3.42,2.555,200,3.445,2.455,200,3.475,2.54,200,3.54,2.465,200,3.355,2.6,200,3.58,2.49,200,3.47,2.5,200,3.635,2.555,200,3.58,2.48,200,3.405,2.685,250,3.636,2.468,250,3.472,2.5,250,3.576,2.496,250,3.384,2.484,250,3.44,2.492,250,3.48,2.344,250,3.484,2.388,250,3.392,2.432,250,3.5,2.548,250,3.524,2.468,300,3.52666666666667,2.60666666666667,300,3.51,2.52666666666667,300,3.52,2.50333333333333,300,3.59,2.53,300,3.55,2.68333333333333,300,3.45666666666667,2.53,300,3.52666666666667,2.51,300,3.36333333333333,2.41666666666667,300,3.44666666666667,2.43,300,3.42666666666667,2.43333333333333,350,3.63714285714286,2.51142857142857,350,3.39142857142857,2.54571428571429,350,3.42571428571429,2.56,350,3.74571428571429,2.51428571428571,350,3.61142857142857,2.47428571428571,350,3.54857142857143,2.48857142857143,350,3.53142857142857,2.38,350,3.38571428571429,2.45714285714286,350,3.58,2.54857142857143,350,3.66571428571429,2.50285714285714,400,3.4075,2.395,400,3.655,2.4925,400,3.3325,2.4825,400,3.665,2.5075,400,3.6225,2.47,400,3.475,2.54,400,3.4125,2.5025,400,3.5775,2.575,400,3.4525,2.4025,400,3.525,2.52,450,3.58888888888889,2.50666666666667,450,3.4,2.46666666666667,450,3.41777777777778,2.56222222222222,450,3.53777777777778,2.54222222222222,450,3.49333333333333,2.45555555555556,450,3.47111111111111,2.48666666666667,450,3.46222222222222,2.47111111111111,450,3.54444444444444,2.47111111111111,450,3.58666666666667,2.46222222222222,450,3.44,2.53777777777778,500,3.452,2.538,500,3.498,2.524,500,3.63,2.52,500,3.642,2.534,500,3.514,2.526,500,3.496,2.536,500,3.376,2.482,500,3.482,2.508,500,3.436,2.456,500,3.528,2.406,550,3.43818181818182,2.53454545454545,550,3.53090909090909,2.51090909090909,550,3.49272727272727,2.46363636363636,550,3.51454545454545,2.51636363636364,550,3.50545454545455,2.53818181818182,550,3.53272727272727,2.51454545454545,550,3.43090909090909,2.52181818181818,550,3.58909090909091,2.51636363636364,550,3.39272727272727,2.46545454545455,550,3.31454545454545,2.46909090909091,600,3.53166666666667,2.48666666666667,600,3.43666666666667,2.43666666666667,600,3.445,2.61166666666667,600,3.41333333333333,2.49666666666667,600,3.475,2.6,600,3.52,2.49,600,3.365,2.55333333333333,600,3.415,2.48333333333333,600,3.53,2.57166666666667,600,3.51,2.51333333333333,650,3.44,2.51384615384615,650,3.48153846153846,2.50769230769231,650,3.42,2.54461538461538,650,3.49538461538462,2.52,650,3.63076923076923,2.48615384615385,650,3.47230769230769,2.55692307692308,650,3.58307692307692,2.41846153846154,650,3.42923076923077,2.56307692307692,650,3.54923076923077,2.51538461538462,650,3.54769230769231,2.5,700,3.58857142857143,2.48428571428571,700,3.43857142857143,2.49,700,3.44,2.52,700,3.52714285714286,2.53571428571429,700,3.62571428571429,2.45714285714286,700,3.46714285714286,2.57,700,3.52571428571429,2.47857142857143,700,3.64285714285714,2.50142857142857,700,3.5,2.45571428571429,700,3.47285714285714,2.58285714285714,750,3.46533333333333,2.47333333333333,750,3.57866666666667,2.48666666666667,750,3.436,2.48666666666667,750,3.548,2.564,750,3.612,2.504,750,3.46533333333333,2.47333333333333,750,3.46,2.56266666666667,750,3.41466666666667,2.54666666666667,750,3.50133333333333,2.44266666666667,750,3.55066666666667,2.44,800,3.54375,2.49375,800,3.43125,2.47375,800,3.55625,2.52125,800,3.50125,2.55625,800,3.51375,2.4275,800,3.45875,2.455,800,3.505,2.585,800,3.59125,2.4925,800,3.4925,2.50375,800,3.50375,2.4825,850,3.45058823529412,2.51411764705882,850,3.58941176470588,2.47411764705882,850,3.45882352941176,2.52705882352941,850,3.50117647058823,2.44588235294118,850,3.5,2.44705882352941,850,3.57764705882353,2.53058823529412,850,3.48705882352941,2.51882352941176,850,3.43411764705882,2.48235294117647,850,3.50117647058823,2.48,850,3.51294117647059,2.52352941176471,900,3.52888888888889,2.46,900,3.54888888888889,2.47,900,3.51,2.44222222222222,900,3.50666666666667,2.51444444444444,900,3.54111111111111,2.45666666666667,900,3.54777777777778,2.49888888888889,900,3.44111111111111,2.53222222222222,900,3.51111111111111,2.55,900,3.57111111111111,2.49111111111111,900,3.48777777777778,2.55555555555556,950,3.40526315789474,2.48631578947368,950,3.56736842105263,2.48736842105263,950,3.51789473684211,2.49578947368421,950,3.56,2.54,950,3.52315789473684,2.48,950,3.51157894736842,2.58631578947368,950,3.48736842105263,2.47368421052632,950,3.56421052631579,2.48105263157895,950,3.58421052631579,2.57684210526316,950,3.59157894736842,2.45473684210526,1000,3.459,2.495,1000,3.55,2.486,1000,3.431,2.425,1000,3.441,2.501,1000,3.439,2.55,1000,3.482,2.469,1000,3.434,2.521,1000,3.502,2.525,1000,3.569,2.457,1000,3.46,2.51
